Component, LCOM2, LCOM3, LCOM5, TCC, LCOM4, LCbC_XScan, MWE, CC
edu.umd.cs.findbugs.ba.BetterCFGBuilder2,25,80,85,17,1,0,0.048016451648159694,21
edu.umd.cs.findbugs.ba.BlockOrder,,,,0,1,0,4.9E-324,3
edu.umd.cs.findbugs.ba.BlockType,0,71,67,65,2,0,0.010838025243290169,2
edu.umd.cs.findbugs.ba.BlockTypeAnalysis,53,82,,0,10,0,0.007063975451585266,3
edu.umd.cs.findbugs.ba.BlockTypeDataflow,,,,,1,0,4.9E-324,1
edu.umd.cs.findbugs.ba.BytecodeScanner,3,67,,0,1,0,0.009012668814069388,2
edu.umd.cs.findbugs.ba.CFG,592,96,87,4,12,0,0.050138069809729596,11
edu.umd.cs.findbugs.ba.CFGBuilder,,,,0,2,0,0.009629825956356568,2
edu.umd.cs.findbugs.ba.CFGBuilderException,,100,,,1,0,4.9E-324,2
edu.umd.cs.findbugs.ba.CFGBuilderFactory,,,,0,1,0,4.9E-324,4
edu.umd.cs.findbugs.ba.CFGPrinter,16,61,50,14,1,0,0.007465175758407962,4
edu.umd.cs.findbugs.ba.CheckReturnAnnotationDatabase,1,33,0,100,1,0,0.008372378830939395,18
edu.umd.cs.findbugs.ba.CheckReturnValueAnnotation,5,85,100,0,2,0,0.020036033715442488,6
edu.umd.cs.findbugs.ba.ClassContext,1657,97,93,1,7,0,0.004269036783630429,15
edu.umd.cs.findbugs.ba.ClassHash,57,81,81,38,2,1,0.00602024816970994,4
edu.umd.cs.findbugs.ba.ClassMember,,,,0,5,0,0.008307131106947996,4
edu.umd.cs.findbugs.ba.ClassNotFoundExceptionParser,0,67,,0,2,0,4.9E-324,4
edu.umd.cs.findbugs.ba.CompactLocationNumbering,0,30,50,33,1,0,0.010821040912294173,2
edu.umd.cs.findbugs.ba.CompoundMethodChooser,0,0,0,100,1,0,0.011378565050048332,2
edu.umd.cs.findbugs.ba.DFSCFGPrinter,0,0,,0,1,1,0.009068974124303186,2
edu.umd.cs.findbugs.ba.DFSEdgeTypes,,,,,0,0,-2.0,2
edu.umd.cs.findbugs.ba.DataflowAnalysisException,10,100,,,12,0,0.0124702877674044,2
edu.umd.cs.findbugs.ba.Debug,,,,,0,0,-2.0,2
edu.umd.cs.findbugs.ba.DebugRepositoryLookupFailureCallback,,,,0,4,4,0.008444239021967063,4
edu.umd.cs.findbugs.ba.DefaultNullnessAnnotations,,,,0,1,0,4.9E-324,29
edu.umd.cs.findbugs.ba.DepthFirstSearch,0,0,,,5,0,0.008372378830939397,2
edu.umd.cs.findbugs.ba.DominatorsAnalysis,1,33,,0,2,0,0.009068974124303185,2
edu.umd.cs.findbugs.ba.Edge,110,76,57,11,8,0,0.009887894525689249,4
edu.umd.cs.findbugs.ba.EdgeChooser,,,,0,1,0,4.9E-324,2
edu.umd.cs.findbugs.ba.EdgeTypes,,,,,0,0,-2.0,3
edu.umd.cs.findbugs.ba.ExceptionHandlerMap,0,40,66,0,1,0,0.017237898019304927,3
edu.umd.cs.findbugs.ba.FieldSummary,16,72,82,21,3,0,0.006358722246787644,20
edu.umd.cs.findbugs.ba.FileSourceFileDataSource,0,0,0,100,53,1,0.007945185509147896,4
edu.umd.cs.findbugs.ba.Hierarchy,545,94,88,4,12,0,0.004049549628244177,9
edu.umd.cs.findbugs.ba.Hierarchy2,105,93,,0,2,0,0.00597959982078231,19
edu.umd.cs.findbugs.ba.INullnessAnnotationDatabase,,,,0,7,0,0.009371598070610975,4
edu.umd.cs.findbugs.ba.IncompatibleTypes,26,84,94,13,2,0,0.005199597185423814,22
edu.umd.cs.findbugs.ba.InnerClassAccess,3,63,93,10,1,0,0.009145062505243728,3
edu.umd.cs.findbugs.ba.InnerClassAccessMap,22,79,67,0,2,1,0.006294946461476798,6
edu.umd.cs.findbugs.ba.InstanceField,1,100,,0,21,0,0.00850300335439582,1
edu.umd.cs.findbugs.ba.InvalidBytecodeException,6,100,,,4,0,0.014215603795800063,2
edu.umd.cs.findbugs.ba.JCIPAnnotationDatabase,28,88,100,0,2,0,0.01106743978142563,7
edu.umd.cs.findbugs.ba.JavaClassAndMethod,0,20,28,90,1,0,0.011265869716153683,2
edu.umd.cs.findbugs.ba.JavaClassAndMethodChooser,,,,0,2,0,0.009982599139115303,2
edu.umd.cs.findbugs.ba.LineNumberMap,0,56,80,67,1,0,0.010822225617241074,2
edu.umd.cs.findbugs.ba.LiveLocalStoreAnalysis,67,71,60,6,4,0,0.013945912482081633,3
edu.umd.cs.findbugs.ba.LiveLocalStoreDataflow,,,,,1,0,4.9E-324,2
edu.umd.cs.findbugs.ba.Location,0,50,45,62,1,0,0.012068555211973881,3
edu.umd.cs.findbugs.ba.LockAnalysis,45,76,67,3,8,0,0.007105259056759825,3
edu.umd.cs.findbugs.ba.LockChecker,0,33,40,100,1,0,0.005287644544159866,2
edu.umd.cs.findbugs.ba.LockDataflow,,,,,1,0,4.9E-324,2
edu.umd.cs.findbugs.ba.LockSet,0,74,72,57,1,0,0.0072666554795487535,2
edu.umd.cs.findbugs.ba.MethodBytecodeSet,,,,0,1,0,4.9E-324,2
edu.umd.cs.findbugs.ba.MethodChooser,,,,0,1,0,4.9E-324,2
edu.umd.cs.findbugs.ba.MethodHash,42,82,85,22,3,0,0.011263822489891882,4
edu.umd.cs.findbugs.ba.MethodUnprofitableException,0,50,,0,1,0,0.015655860974440966,2
edu.umd.cs.findbugs.ba.MissingClassException,4,75,,0,3,0,0.013195690191457943,3
edu.umd.cs.findbugs.ba.NullnessAnnotation,1,90,,0,2,0,0.00909201028962438,7
edu.umd.cs.findbugs.ba.NullnessAnnotationDatabase,,,,0,7,6,0.011044285998416125,11
edu.umd.cs.findbugs.ba.ObjectTypeFactory,0,0,0,100,1,0,0.035300644982315,6
edu.umd.cs.findbugs.ba.Path,11,71,60,42,1,0,0.009407622848045234,3
edu.umd.cs.findbugs.ba.PathVisitor,,,,0,3,0,0.009462626964146192,2
edu.umd.cs.findbugs.ba.PostDominatorsAnalysis,0,25,,0,2,0,0.00856985612076421,2
edu.umd.cs.findbugs.ba.PruneInfeasibleExceptionEdges,0,56,80,100,2,0,0.009882706526665385,5
edu.umd.cs.findbugs.ba.PruneUnconditionalExceptionThrowerEdges,6,71,86,17,3,0,0.00538893240933044,10
edu.umd.cs.findbugs.ba.RepositoryClassParser,0,0,,0,1,0,0.008062726533027592,4
edu.umd.cs.findbugs.ba.RepositoryLookupFailureCallback,,,,,6,0,-2.0,2
edu.umd.cs.findbugs.ba.ResourceValue,1,50,50,70,8,0,0.00884812078902508,2
edu.umd.cs.findbugs.ba.ResourceValueFrame,0,83,50,100,1,0,0.009824285007945757,2
edu.umd.cs.findbugs.ba.ResourceValueFrameModelingVisitor,,,,0,8,0,0.005285814961730484,2
edu.umd.cs.findbugs.ba.ReturnPath,0,73,85,100,1,0,0.04002007933339351,2
edu.umd.cs.findbugs.ba.ReturnPathAnalysis,,,,0,10,0,0.009464285954726502,3
edu.umd.cs.findbugs.ba.ReturnPathDataflow,,,,,1,0,4.9E-324,1
edu.umd.cs.findbugs.ba.ReverseDFSOrder,,0,,,1,0,4.9E-324,4
edu.umd.cs.findbugs.ba.ReverseDepthFirstSearch,0,0,,,5,0,0.008245706936984645,2
