Component, LCOM2, LCOM3, LCOM5, TCC, CBO, LCOM4, LOC, LCbC_MM, LCbC_XScan, MWE, CC
org.gjt.sp.jedit.bsh.Capabilities,8,70,75,10,0,1,55,1,0,0.01686140330744651,0
org.gjt.sp.jedit.bsh.ClassGenerator,6,75,,0,0,4,18,1,0,0.011608623548922056,0
org.gjt.sp.jedit.bsh.ClassGeneratorImpl,,,,0,10,3,226,1,0,0.00909451883315083,0
org.gjt.sp.jedit.bsh.ClassGeneratorUtil,189,89,90,20,18,1,854,1,0,0.017542018666664046,0
org.gjt.sp.jedit.bsh.ClassIdentifier,0,0,0,100,0,1,9,1,0,0.015888322301247232,0
org.gjt.sp.jedit.bsh.ClassPathException,,,,,0,1,1,1,0,4.9E-324,0
org.gjt.sp.jedit.bsh.CollectionManager,15,83,,0,0,5,44,1,2,0.013265648819568373,0
org.gjt.sp.jedit.bsh.CommandLineReader,6,75,,0,0,2,41,1,0,0.011192299497822451,0
org.gjt.sp.jedit.bsh.ConsoleInterface,,,,0,0,6,6,1,0,0.0185098929035093,0
org.gjt.sp.jedit.bsh.DelayedEvalBshMethod,0,53,89,17,3,1,42,1,0,0.011933849596045161,0
org.gjt.sp.jedit.bsh.EvalError,14,64,70,29,3,1,88,1,0,0.01300857711291946,1
org.gjt.sp.jedit.bsh.ExternalNameSpace,49,47,0,28,1,6,125,1,0,0.014582507732765194,0
org.gjt.sp.jedit.bsh.Interpreter,1341,94,94,9,15,7,831,2,0,0.008858585896957755,0
org.gjt.sp.jedit.bsh.InterpreterError,,,,,0,1,4,1,0,4.9E-324,0
org.gjt.sp.jedit.bsh.JJTParserState,0,48,56,,1,1,73,0,0,0.013846871461548733,0
org.gjt.sp.jedit.bsh.JThis,,,,0,3,4,148,2,1,0.007007369641258974,0
org.gjt.sp.jedit.bsh.JavaCharStream,139,81,73,47,0,6,474,0,0,0.009904235526595832,0
org.gjt.sp.jedit.bsh.LHS,0,60,42,100,2,2,159,1,0,0.010461340005917226,0
org.gjt.sp.jedit.bsh.Modifiers,15,79,75,100,0,1,63,0,0,0.015733415078306563,0
org.gjt.sp.jedit.bsh.Name,85,82,75,29,4,1,773,1,0,0.009491997933926126,0
org.gjt.sp.jedit.bsh.NameSource,,,,0,0,2,2,1,0,0.013011152416356878,0
org.gjt.sp.jedit.bsh.NameSpace,2349,95,94,8,10,8,1076,1,1,0.015449642033886787,0
org.gjt.sp.jedit.bsh.Node,,,,0,0,7,7,1,0,0.01568809482429103,0
org.gjt.sp.jedit.bsh.ParseException,27,73,75,29,2,2,158,1,1,0.012516825560241744,0
org.gjt.sp.jedit.bsh.Parser,41803,92,86,69,30,3,5346,2,0,0.009287820743435243,0
org.gjt.sp.jedit.bsh.ParserConstants,,,,,0,0,0,2,0,-2.0,0
org.gjt.sp.jedit.bsh.ParserTokenManager,27,90,90,30,2,2,2013,1,0,0.008190657515459842,0
org.gjt.sp.jedit.bsh.ParserTreeConstants,,,,,0,0,0,2,0,-2.0,0
org.gjt.sp.jedit.bsh.Primitive,798,85,67,22,1,4,929,1,0,0.010803619377308043,0
org.gjt.sp.jedit.bsh.Reflect,,,,0,1,7,686,1,0,0.014697158862476774,0
org.gjt.sp.jedit.bsh.ReflectError,,,,,0,2,2,1,0,0.013133208255159474,0
org.gjt.sp.jedit.bsh.ReflectManager,3,67,,0,0,1,22,1,0,0.014389423970940889,0
org.gjt.sp.jedit.bsh.Remote,,,,0,0,1,147,1,0,0.017708623703119146,0
org.gjt.sp.jedit.bsh.ReturnControl,,0,,,0,1,5,1,0,4.9E-324,0
org.gjt.sp.jedit.bsh.SimpleNode,129,89,88,8,1,8,87,1,1,0.012076524507127751,0
org.gjt.sp.jedit.bsh.StringUtil,,,,0,0,5,56,1,0,0.01488634109764895,1
org.gjt.sp.jedit.bsh.TargetError,23,65,62,21,2,3,69,1,1,0.013478827638084683,0
org.gjt.sp.jedit.bsh.This,29,59,37,14,2,5,164,1,0,0.014861769079249501,0
