Component, LCOM2, LCOM3, LCOM5, TCC, LCOM4, LCbC_XScan, MWE, CC
net.sf.freecol.client.gui.panel.ReportHighScoresPanel,,,,0,2,2,0.06241617971569185,16
net.sf.freecol.client.gui.panel.ReportHistoryPanel,,,,0,2,1,0.0652517817489976,9
net.sf.freecol.client.gui.panel.ReportIndianPanel,3,67,,0,2,2,0.04625620749685864,42
net.sf.freecol.client.gui.panel.ReportLabourPanel,180,86,81,0,2,2,0.010189636487062401,23
net.sf.freecol.client.gui.panel.ReportMilitaryPanel,4,50,,0,2,2,0.09264454161630066,28
net.sf.freecol.client.gui.panel.ReportNavalPanel,4,50,,0,2,2,0.09008870721868652,26
net.sf.freecol.client.gui.panel.ReportPanel,28,83,100,0,4,3,0.03942945464920277,39
net.sf.freecol.client.gui.panel.ReportProductionPanel,0,68,78,67,1,0,0.012038667944091459,27
net.sf.freecol.client.gui.panel.ReportReligiousPanel,0,0,,0,1,2,0.10445923185526566,25
net.sf.freecol.client.gui.panel.ReportRequirementsPanel,15,68,37,0,4,2,0.03471101869127815,33
net.sf.freecol.client.gui.panel.ReportTradePanel,7,72,90,33,2,5,0.013860151010963892,18
net.sf.freecol.client.gui.panel.ReportTurnPanel,,,,0,1,1,0.029264483599481316,35
net.sf.freecol.client.gui.panel.ReportUnitPanel,6,78,79,0,1,0,0.007523198000664708,3
net.sf.freecol.client.gui.panel.RiverStylePanel,1,67,,0,2,1,0.03522331129753907,11
net.sf.freecol.client.gui.panel.SelectAmountDialog,0,64,87,33,1,0,0.03425762601497201,13
net.sf.freecol.client.gui.panel.ServerListPanel,0,62,83,60,1,0,0.013044178123957547,15
net.sf.freecol.client.gui.panel.StartGamePanel,4,76,91,32,2,0,0.007098427891643,36
net.sf.freecol.client.gui.panel.StatisticsPanel,8,70,,0,2,0,0.01752596772102225,11
net.sf.freecol.client.gui.panel.StatusPanel,0,50,,0,1,1,0.06682035737105237,6
net.sf.freecol.client.gui.panel.TilePanel,0,54,91,33,1,2,0.012324741710984539,28
net.sf.freecol.client.gui.panel.TradeRouteDialog,0,67,86,50,1,1,0.008690358864650222,26
net.sf.freecol.client.gui.panel.TradeRouteInputDialog,0,72,91,33,1,1,0.014050823783571519,32
net.sf.freecol.client.gui.panel.TradeRouteInputDialog,0,72,91,33,1,1,0.014050823783571519,32
net.sf.freecol.client.gui.panel.TrainDialog,0,60,94,33,1,0,0.04110517174086542,12
