Component, LCOM2, LCOM3, LCOM5, TCC, LCOM4, LCbC_XScan, MWE, CC
org.apache.catalina.SessionListener,,,,0,1,0,4.9E-324,6
org.apache.catalina.Store,,,,0,11,0,0.009527170077628792,5
org.apache.catalina.User,,,,0,17,0,0.009443861490031479,4
org.apache.catalina.UserDatabase,,,,0,16,0,0.009611961552153794,4
org.apache.catalina.Valve,,,,0,6,0,0.00875486381322957,5
org.apache.catalina.Wrapper,,,,0,32,0,0.00912470429199053,9
org.apache.catalina.ant.AbstractCatalinaTask,21,73,77,31,2,1,0.00663016015779795,20
org.apache.catalina.ant.BaseRedirectorHelperTask,18,78,80,53,2,0,0.005182463721728237,8
org.apache.catalina.ant.DeployTask,42,77,83,23,1,1,0.006969872897342034,5
org.apache.catalina.ant.InstallTask,3,57,66,43,1,1,0.008684464458025091,0
org.apache.catalina.ant.JKStatusUpdateTask,315,88,90,4,3,1,0.006191457038752191,3
org.apache.catalina.ant.JMXGetTask,0,40,50,60,1,1,0.009048257372654156,4
org.apache.catalina.ant.JMXQueryTask,0,0,0,100,1,1,0.008899143045484507,4
org.apache.catalina.ant.JMXSetTask,3,57,66,43,1,1,0.008973080757726817,4
org.apache.catalina.ant.ListTask,,,,0,1,1,4.9E-324,4
org.apache.catalina.ant.ReloadTask,0,0,0,100,1,1,0.008479899497487436,5
org.apache.catalina.ant.RemoveTask,0,0,0,100,1,1,0.008826413860738801,0
org.apache.catalina.ant.ResourcesTask,0,0,0,100,1,1,0.009124704291990535,5
org.apache.catalina.ant.RolesTask,,,,0,1,1,4.9E-324,2
org.apache.catalina.ant.ServerinfoTask,,,,0,1,1,4.9E-324,4
org.apache.catalina.ant.SessionsTask,0,0,0,100,1,1,0.008479899497487436,4
org.apache.catalina.ant.StartTask,0,0,0,100,1,1,0.010566539491965189,5
org.apache.catalina.ant.StopTask,0,0,0,100,1,1,0.008479899497487436,5
org.apache.catalina.ant.UndeployTask,0,0,0,100,1,1,0.009124704291990535,6
org.apache.catalina.ant.ValidatorTask,0,0,0,100,1,0,0.00665297894632603,7
org.apache.catalina.ant.jmx.Arg,2,50,62,40,2,0,0.009966777408637875,6
org.apache.catalina.ant.jmx.JMXAccessorCondition,428,92,94,6,2,0,0.006296914807941238,6
org.apache.catalina.ant.jmx.JMXAccessorCreateTask,15,70,77,19,2,1,0.0072795901860339685,6
org.apache.catalina.ant.jmx.JMXAccessorEqualsCondition,187,89,92,8,2,0,0.006513702407818172,6
org.apache.catalina.ant.jmx.JMXAccessorGetTask,0,50,62,50,2,1,0.008098380323935214,5
org.apache.catalina.ant.jmx.JMXAccessorInvokeTask,4,63,71,29,2,1,0.007429829389102916,9
org.apache.catalina.ant.jmx.JMXAccessorQueryTask,13,75,75,17,2,1,0.007271454413674302,7
org.apache.catalina.ant.jmx.JMXAccessorSetTask,36,77,82,18,2,1,0.007182761372705509,7
org.apache.catalina.ant.jmx.JMXAccessorTask,807,95,96,4,2,0,0.014826288534546095,9
org.apache.catalina.ant.jmx.JMXAccessorUnregisterTask,3,67,,0,2,1,0.00809838032393521,4
org.apache.catalina.authenticator.AuthenticatorBase,337,91,94,12,2,6,0.01665360016613254,39
org.apache.catalina.authenticator.BasicAuthenticator,1,50,100,0,2,1,0.004683136154406301,14
org.apache.catalina.authenticator.Constants,,,,,0,0,-2.0,8
org.apache.catalina.authenticator.DigestAuthenticator,24,78,80,0,2,1,0.006010865825822115,31
org.apache.catalina.authenticator.FormAuthenticator,33,77,73,50,2,1,0.005458312466587447,34
org.apache.catalina.authenticator.NonLoginAuthenticator,1,50,,0,2,1,0.007011915269262809,10
org.apache.catalina.authenticator.SSLAuthenticator,6,75,,0,4,3,0.005785450123888268,11
org.apache.catalina.authenticator.SavedRequest,164,89,93,7,9,0,0.08317538208927812,7
org.apache.catalina.authenticator.SingleSignOn,156,86,88,15,5,7,0.04812675458470251,17
org.apache.catalina.authenticator.SingleSignOnEntry,39,80,85,22,3,0,0.008129309535137057,6
org.apache.catalina.connector.ClientAbortException,11,57,50,67,2,0,0.009124704291990537,6
org.apache.catalina.connector.CometEventImpl,15,72,82,28,3,0,0.005922351392849307,7
org.apache.catalina.connector.Connector,2378,96,96,4,12,5,0.018214912773253714,57
org.apache.catalina.connector.Connector,2378,96,96,4,12,5,0.018214912773253714,57
org.apache.catalina.connector.Constants,,,,,0,0,-2.0,4
org.apache.catalina.connector.CoyoteAdapter,17,77,77,17,2,0,0.003151371107770095,112
org.apache.catalina.connector.CoyoteInputStream,0,22,0,67,3,0,0.013171837284858235,15
org.apache.catalina.connector.CoyoteOutputStream,0,25,0,60,2,0,0.008547008547008546,12
org.apache.catalina.connector.CoyotePrincipal,0,0,0,100,1,0,0.009698275862068964,8
org.apache.catalina.connector.CoyoteReader,0,75,77,62,3,0,0.008284749923289352,2
org.apache.catalina.connector.CoyoteWriter,401,84,54,4,2,0,0.008585024017397226,3
org.apache.catalina.connector.InputBuffer,32,83,83,48,3,0,0.03502904317777526,22
org.apache.catalina.connector.MapperListener,0,57,60,32,2,1,0.005931740876271617,26
org.apache.catalina.connector.OutputBuffer,156,85,85,33,2,1,0.0419909809815214,31
org.apache.catalina.connector.Request,8115,97,97,11,18,3,0.013397762888371658,119
org.apache.catalina.connector.RequestFacade,0,4,1,100,58,1,0.05484508675785385,17
org.apache.catalina.connector.Response,1749,92,91,24,5,10,0.011387127950147267,60
org.apache.catalina.connector.ResponseFacade,0,34,32,100,37,10,0.025314842420056948,10
org.apache.catalina.core.ApplicationContext,246,86,86,39,7,3,0.02149597505042578,62
org.apache.catalina.core.ApplicationContextFacade,0,66,67,100,1,3,0.04552593465565655,20
org.apache.catalina.core.ApplicationDispatcher,75,80,80,0,2,0,0.007861930961062963,21
org.apache.catalina.core.ApplicationFilterChain,34,81,83,0,3,0,0.0032115746601893017,15
org.apache.catalina.core.ApplicationFilterConfig,0,71,78,71,1,0,0.0047846951575977355,18
org.apache.catalina.core.ApplicationFilterFactory,21,91,100,0,3,0,0.007423515799214192,8
org.apache.catalina.core.ApplicationHttpRequest,532,92,93,6,5,3,0.01492096097900726,20
org.apache.catalina.core.ApplicationHttpResponse,0,71,52,89,4,6,0.007232595920407041,10
